result,1,2,3,4,5,6,7,8,9
-1,89,58,122,24,29,177,230,46,74
1,198,69,201,12,26,99,98,58,84
-1,15,63,10,220,53,233,239,43,205
1,191,103,83,97,238,207,71,153,23
1,109,234,82,110,5,176,126,16,162
-1,64,184,109,53,173,86,204,200,154
1,211,19,216,160,238,70,249,8,155
-1,56,166,60,3,100,74,202,163,240
1,244,173,135,239,7,186,106,124,179
1,31,248,162,253,115,183,6,151,142
1,152,19,242,58,109,210,133,152,105
-1,118,144,133,231,198,201,78,255,195
1,244,134,108,225,73,36,108,221,102
1,215,225,111,237,32,130,42,129,122
-1,133,88,138,247,78,116,131,246,53
1,114,52,116,65,148,240,7,77,187
-1,4,228,173,133,164,178,132,235,202
1,145,159,161,47,16,243,54,48,3
1,197,61,134,182,156,121,113,72,105
-1,96,194,36,167,200,111,188,176,68
-1,34,8,206,51,160,99,166,179,82
1,250,54,220,45,125,195,244,83,49
1,193,44,199,84,97,0,52,35,95
-1,225,6,133,141,101,133,174,142,202
-1,56,49,132,206,1,44,135,40,161
-1,240,82,162,210,94,6,198,214,161
-1,82,48,24,13,205,122,161,31,48
1,28,144,140,115,178,145,145,42,50
-1,114,6,13,58,81,114,225,251,234
1,107,121,192,133,71,255,81,131,107
1,113,207,82,219,7,128,24,11,117
1,189,234,24,209,168,135,86,5,104
1,143,225,171,246,2,161,144,93,229
-1,184,127,4,109,108,186,209,124,183
1,137,173,249,145,220,150,90,254,70
1,147,18,236,67,97,189,23,145,208
-1,11,187,60,227,233,119,138,74,69
1,57,57,242,22,16,168,18,104,23
1,197,191,112,197,249,80,63,248,4
-1,206,65,55,142,101,177,237,77,134
-1,7,170,141,45,81,104,132,198,175
1,206,2,228,174,233,124,67,32,243
-1,95,82,11,181,21,251,126,178,82
-1,132,149,133,245,20,80,66,161,219
-1,215,73,47,121,187,64,61,227,223
1,235,44,93,194,127,171,151,142,20
-1,68,38,141,229,88,244,205,52,194
-1,118,113,37,220,156,131,240,119,220
-1,145,24,19,1,93,25,144,222,191
1,136,140,175,22,189,249,11,249,90
-1,83,120,153,196,7,125,184,2,193
1,124,176,201,83,35,219,206,239,14
-1,43,94,167,125,236,174,134,158,118
1,134,92,144,168,254,82,143,10,162
-1,72,67,33,124,30,95,95,241,210
1,196,245,31,192,209,241,119,42,205
1,203,136,201,31,47,136,206,69,17
-1,164,139,13,228,149,117,26,220,158
-1,189,164,213,199,120,124,149,219,220
1,137,240,120,30,49,175,231,73,94
-1,28,145,32,150,125,51,182,160,200
-1,140,31,180,134,231,200,99,154,205
1,208,222,231,211,11,80,7,66,8
-1,5,136,187,215,65,190,202,60,199
1,80,168,250,204,76,96,27,26,61
-1,23,232,118,152,234,183,201,192,197
-1,166,15,140,236,216,61,116,18,243
-1,122,245,64,178,101,4,5,232,248
1,125,23,156,29,38,12,18,130,121
-1,210,74,101,141,212,92,212,54,249
1,80,223,4,202,218,206,122,74,44
-1,205,84,217,116,208,228,230,190,194
1,211,182,212,204,166,113,67,42,41
-1,219,167,136,180,102,187,159,232,205
1,44,56,230,85,191,202,27,77,29
1,221,37,189,165,190,101,21,151,155
-1,29,108,186,181,13,234,76,158,161
-1,213,15,213,20,94,16,234,126,170
-1,6,70,125,172,35,111,43,176,149
-1,161,203,134,199,131,179,251,131,193
1,244,209,27,136,5,65,51,151,97
1,110,234,95,206,210,202,78,37,101
-1,91,42,57,205,135,166,98,156,89
-1,101,66,15,144,113,41,79,14,199
-1,47,175,169,101,107,236,176,93,204
1,103,250,114,130,75,138,74,102,59
1,200,201,58,128,181,180,124,98,223
1,10,116,169,221,38,110,79,59,140
1,70,171,255,91,121,182,140,207,49
1,174,217,69,153,197,244,181,77,159
-1,31,245,38,56,122,93,183,249,76
1,77,251,232,114,210,206,252,72,86
-1,20,186,12,179,27,206,184,173,39
-1,111,61,230,169,35,129,106,175,122
1,118,140,209,238,209,151,122,206,73
-1,41,124,118,229,116,50,59,45,236
-1,203,46,73,148,154,115,252,60,116
1,140,228,92,50,153,185,89,67,14
1,65,109,231,192,211,102,73,8,131
-1,21,228,151,70,134,33,105,245,79
1,149,189,101,108,7,208,83,109,240
1,168,28,146,42,50,91,124,28,123
-1,45,2,211,241,185,166,46,74,249
-1,3,215,164,161,203,227,173,163,215
1,76,215,87,23,59,209,99,16,10
-1,112,32,80,208,243,87,166,220,24
1,180,155,191,169,233,56,76,233,175
1,61,228,116,108,176,144,110,168,80
1,59,27,133,225,108,195,7,55,2
1,241,132,219,18,192,198,179,91,166
1,137,58,203,142,114,130,203,94,57
1,118,255,199,186,143,93,10,197,10
1,40,252,182,193,87,52,56,148,80
-1,145,190,158,242,211,46,238,87,207
-1,13,85,156,67,71,23,103,139,251
1,204,144,85,109,23,60,47,150,138
1,212,34,106,78,116,174,11,24,72
-1,165,59,161,133,43,172,125,118,199
1,122,186,188,111,250,106,206,227,45
-1,189,222,5,92,21,200,189,72,242
1,71,231,55,155,76,50,44,151,121
-1,102,80,19,183,241,21,46,139,73
1,214,188,207,223,125,43,150,194,208
1,202,162,209,76,125,193,202,160,154
-1,22,205,27,53,180,132,207,177,74
-1,90,25,44,79,29,145,160,54,9
-1,23,39,72,203,163,150,117,29,176
1,171,4,250,100,155,113,39,85,125
1,242,27,49,105,217,233,156,18,19
-1,11,130,224,82,209,82,196,210,235
-1,119,77,142,75,97,208,208,122,150
1,173,94,245,196,23,149,125,178,94
1,243,90,240,31,36,235,6,196,70
-1,116,205,148,25,164,43,227,205,157
-1,28,238,141,98,231,42,53,255,114
-1,16,64,43,158,244,40,114,40,5
1,53,197,199,164,198,235,117,55,111
1,138,149,116,238,148,139,54,170,79
-1,41,81,78,115,96,163,180,48,100
1,79,227,136,39,24,227,159,38,121
1,202,88,167,96,111,34,121,164,62
-1,15,94,111,116,192,118,173,114,56
1,113,5,228,42,53,8,8,38,142
1,184,83,149,98,33,136,203,130,54
-1,35,110,132,131,140,82,156,128,108
-1,42,109,184,20,113,166,249,131,197
-1,23,218,231,36,194,231,140,193,231
-1,218,110,7,204,104,169,246,64,140
1,86,60,115,228,140,1,173,28,50
-1,206,175,182,126,16,20,255,200,130
1,36,210,172,144,139,230,246,27,141
1,87,118,26,236,28,240,88,12,4
1,156,190,112,6,55,10,60,133,173
-1,1,100,187,73,236,122,63,174,54
1,86,239,212,24,70,5,255,1,153
1,238,172,67,15,44,185,171,222,78
1,52,182,140,171,88,95,193,25,39
-1,106,46,136,108,252,41,226,197,99
1,188,135,243,211,107,155,245,147,142
-1,6,212,60,241,59,110,65,240,159
-1,153,79,109,242,5,148,147,168,141
-1,62,175,84,171,234,168,5,212,122
-1,53,71,169,48,160,54,214,22,203
1,215,209,216,100,0,93,247,120,177
1,215,152,190,228,201,206,136,249,151
1,71,115,192,208,44,253,116,18,17
1,18,181,181,135,150,38,60,35,203
1,118,221,88,109,244,211,166,2,252
-1,18,186,173,215,231,56,8,179,203
-1,243,53,67,254,135,119,189,196,123
-1,70,4,64,183,230,249,9,209,184
1,244,12,129,31,152,147,54,212,18
1,238,103,254,217,51,18,71,67,133
-1,58,251,239,14,12,71,229,218,215
-1,74,53,31,161,24,50,233,5,159
1,185,98,168,164,22,189,145,122,155
1,229,91,117,53,191,96,208,127,62
-1,69,131,93,209,71,23,215,76,37
1,215,169,134,113,82,127,176,152,78
1,145,107,228,232,40,48,209,97,39
-1,169,102,1,35,85,146,203,145,251
1,182,57,213,50,27,243,13,128,127
-1,189,89,73,127,161,59,172,179,129
-1,32,13,232,125,62,98,215,126,93
1,64,137,152,237,121,248,70,94,127
1,143,145,246,115,56,203,143,90,165
1,147,133,191,126,199,33,177,78,176
-1,202,37,8,63,8,195,8,229,148
-1,152,118,85,107,161,146,246,85,140
-1,16,253,106,225,110,191,172,76,231
1,242,159,155,211,146,109,83,30,0
1,79,233,224,168,190,146,113,18,199
1,170,251,140,132,82,16,66,119,249
-1,5,112,152,31,35,224,54,209,22
-1,42,185,116,62,118,17,147,205,59
-1,38,75,199,220,2,77,124,195,175
-1,127,7,65,116,158,116,133,101,217
1,176,182,46,244,234,15,21,31,224
1,1,161,118,77,184,70,191,42,39
-1,115,27,65,31,47,215,138,48,21
1,94,150,158,229,206,201,157,124,30
-1,89,80,21,202,189,144,238,54,254
1,167,167,5,27,158,172,76,78,21
-1,116,96,161,25,20,216,176,112,122
1,252,67,250,154,217,127,73,156,14
1,87,248,65,216,221,2,53,60,25
-1,111,13,130,60,246,155,126,102,116
1,101,114,122,71,128,236,64,52,113
-1,85,35,249,153,179,126,88,202,202
-1,156,242,157,138,4,95,62,242,255
-1,169,136,159,129,223,169,207,139,133
-1,81,150,94,66,124,110,10,131,223
1,238,231,242,127,24,42,186,144,124
-1,247,54,131,19,187,30,212,81,223
-1,168,138,239,85,3,69,228,254,66
-1,123,20,129,188,7,71,107,248,251
-1,86,4,162,59,97,242,187,171,243
-1,57,65,174,138,38,206,54,251,129
-1,145,229,13,142,107,126,154,173,71
-1,9,152,219,208,131,65,146,119,226
1,219,195,123,70,118,49,178,47,7
1,176,210,62,33,177,195,3,174,148
-1,28,219,24,103,102,170,79,109,181
1,166,212,172,35,13,153,20,82,97
-1,88,226,165,100,61,234,209,205,167
1,73,107,180,153,253,23,112,49,106
1,255,195,190,71,176,160,161,127,239
-1,24,158,58,134,126,35,149,88,15
-1,38,235,38,87,205,48,7,182,186
1,211,206,168,180,243,161,226,102,111
1,193,162,83,50,154,122,6,89,56
-1,17,49,137,212,237,245,213,23,213
-1,115,135,100,58,93,195,116,227,40
-1,170,57,29,192,52,6,18,70,202
-1,204,68,120,136,78,255,220,241,18
1,55,164,204,48,92,246,23,112,144
1,17,56,179,40,229,199,22,12,77
-1,4,192,32,140,186,223,224,191,159
-1,182,13,220,16,14,134,184,135,103
1,131,154,231,68,144,70,14,117,119
1,112,112,193,48,218,206,81,46,98
1,176,250,169,175,46,174,187,15,4
-1,144,179,72,219,41,212,234,166,42
-1,39,32,41,28,56,142,107,72,217
1,78,255,192,62,222,142,32,172,187
-1,153,88,23,127,189,59,10,187,163
-1,219,85,11,183,167,16,198,46,78
1,186,172,172,252,11,248,217,102,183
-1,36,18,129,180,43,153,87,27,112
1,214,119,22,130,28,87,68,131,140
-1,8,102,249,74,200,10,244,135,146
-1,59,134,51,157,26,230,179,172,79
1,232,34,241,9,246,102,233,48,50
1,97,245,66,118,163,232,71,211,13
1,135,116,233,251,235,85,118,48,61
-1,174,40,64,171,182,200,249,236,192
-1,168,107,18,161,159,170,195,168,142
-1,100,190,223,21,120,237,87,236,250
-1,105,101,107,58,76,187,187,69,227
-1,183,81,69,224,35,126,107,199,158
1,234,222,168,252,88,102,222,201,44
-1,210,24,61,116,202,149,131,201,98
1,215,185,69,128,115,171,77,84,19
-1,12,179,51,212,176,176,211,203,88
1,137,120,224,201,34,66,0,225,55
-1,184,106,59,83,106,35,232,128,71
1,60,159,186,212,214,35,124,34,62
1,124,227,38,135,121,118,6,34,100
1,130,201,81,84,148,195,132,177,50
-1,102,154,88,92,102,107,196,77,210
1,231,149,99,241,156,156,104,15,194
-1,142,192,180,153,188,164,110,246,217
-1,65,120,237,107,33,167,88,230,142
1,55,200,146,178,121,239,156,13,187
1,40,170,13,38,236,44,89,93,7
-1,62,52,162,80,111,79,170,227,103
-1,77,16,208,104,7,49,8,63,234
-1,45,17,221,199,46,134,120,168,67
1,200,104,74,74,170,199,31,79,241
-1,142,143,70,191,12,63,194,134,177
-1,59,136,24,15,239,75,34,228,164
1,166,59,66,230,199,239,153,125,0
1,49,155,218,80,53,162,208,17,187
1,20,38,254,251,208,27,23,80,32
1,15,125,118,72,34,53,9,125,15
-1,78,255,234,167,89,92,207,218,193
1,244,239,74,240,0,46,254,114,39
-1,18,42,17,173,204,219,120,192,26
1,111,122,227,236,192,82,22,89,77
1,34,224,89,216,235,247,97,79,168
-1,144,197,15,18,56,174,237,192,235
-1,74,23,106,203,42,70,7,154,101
1,92,238,173,235,186,56,114,174,145
1,0,99,132,232,125,64,25,164,11
1,147,108,191,154,48,211,192,152,57
-1,151,23,185,202,229,36,209,226,32
-1,56,251,37,30,133,154,202,142,170
1,98,220,210,118,141,52,31,206,250
-1,84,36,71,227,224,116,201,91,42
-1,123,54,173,144,127,204,152,148,155
-1,237,26,185,205,180,223,175,188,113
-1,154,97,254,132,227,25,138,244,249
1,93,179,77,100,255,50,216,31,95
1,194,110,178,17,2,15,54,179,36
-1,8,181,231,199,34,27,196,197,176
1,60,188,246,197,160,57,77,112,180
1,240,204,242,116,5,190,79,33,252
-1,116,23,242,245,227,124,218,11,213
-1,207,36,7,111,166,64,138,239,201
-1,90,213,78,145,13,159,172,34,250
1,61,116,184,94,221,56,17,97,102
1,213,161,226,141,36,185,12,214,57
-1,245,13,194,91,239,100,246,171,158
-1,175,56,209,96,122,50,168,232,250
1,206,248,193,121,167,145,166,2,59
-1,88,80,238,111,121,189,134,85,207
1,129,231,188,24,52,220,213,41,245
1,139,176,15,88,41,123,27,81,155
-1,118,24,95,177,251,173,40,102,238
1,204,254,15,150,164,244,127,127,171
1,183,160,7,214,113,143,132,56,63
-1,55,108,79,162,227,171,214,240,17
-1,31,122,12,235,36,170,234,169,156
-1,109,8,6,88,29,16,245,74,49
1,132,243,94,63,234,243,13,203,204
-1,167,139,141,245,3,163,127,232,233
1,255,233,203,225,49,88,113,163,1
-1,193,90,14,163,108,217,169,35,199
1,119,11,240,39,2,206,68,81,151
-1,142,42,144,169,248,140,99,21,243
1,190,70,123,187,42,80,116,0,246
-1,204,112,89,249,39,150,237,252,236
-1,108,95,138,251,145,152,236,5,217
-1,168,29,208,12,61,144,221,242,48
1,89,140,246,14,15,23,212,26,106
-1,43,194,81,193,73,108,109,71,217
-1,59,174,59,253,180,200,100,175,178
-1,177,3,115,172,98,203,147,35,205
1,157,183,49,197,101,97,76,150,26
1,219,100,200,238,57,109,17,221,59
-1,187,28,95,103,116,152,146,116,76
-1,181,126,56,136,20,199,202,92,155
-1,205,100,5,105,223,219,240,99,145
1,67,122,214,176,125,61,8,107,211
-1,125,26,204,208,20,42,102,152,178
1,160,117,55,65,130,62,10,37,57
-1,254,7,110,181,150,65,158,89,141
-1,37,241,113,89,128,44,100,253,147
-1,4,65,9,170,102,17,199,197,125
1,176,103,242,3,113,41,159,73,251
-1,88,107,106,181,127,214,181,206,66
1,126,104,125,71,154,226,24,6,28
1,142,136,159,6,161,108,81,54,135
-1,114,120,19,212,155,57,236,55,195
1,174,159,173,112,121,27,12,215,151
1,204,170,240,57,76,223,100,6,5
-1,106,143,28,102,192,51,209,173,13
1,174,236,64,205,108,97,202,188,36
-1,65,106,144,250,41,253,239,160,0
1,254,123,43,27,109,50,20,155,184
1,101,244,140,76,149,173,147,59,111
-1,21,214,29,85,108,97,71,255,212
1,59,199,214,36,30,191,81,43,199
1,165,174,149,59,101,122,17,56,156
1,140,223,180,231,249,121,232,73,128
1,253,125,2,213,57,136,85,64,192
-1,208,180,44,12,178,146,228,174,217
1,142,253,195,81,121,14,199,175,212
-1,219,51,125,100,8,12,167,253,94
1,117,251,28,95,154,254,37,190,85
-1,8,52,243,114,175,65,210,157,130
1,173,9,246,54,227,128,8,181,85
1,254,244,9,157,117,132,82,65,37
-1,248,178,127,11,68,56,204,222,209
1,239,87,230,29,105,90,59,57,226
-1,210,166,132,125,17,81,164,234,230
-1,42,147,206,128,197,203,134,140,197
1,187,45,82,74,18,195,175,7,108
-1,84,7,45,161,183,165,61,128,130
1,127,161,158,224,134,199,107,124,158
-1,39,124,187,186,140,191,70,208,236
-1,112,62,79,168,186,16,199,21,43
-1,240,40,109,103,46,130,228,181,171
-1,200,7,70,186,195,243,143,249,3
1,97,122,60,157,252,81,97,129,5
1,43,139,131,77,38,169,114,21,10
1,231,143,32,2,255,159,4,83,10
-1,42,27,202,31,213,33,123,138,38
-1,73,20,37,92,113,145,143,21,68
-1,12,1,201,173,60,54,254,94,125
1,202,102,234,48,77,48,171,126,147
-1,149,28,48,229,114,88,247,45,40
1,166,110,231,117,90,101,200,38,122
1,203,175,208,211,220,161,213,129,189
-1,66,90,106,28,230,123,31,15,223
-1,181,71,221,9,131,95,249,152,207
-1,205,99,116,34,110,87,44,178,221
-1,17,129,197,16,110,77,254,11,178
1,193,148,115,241,248,86,105,82,58
-1,97,143,76,143,71,25,102,168,223
-1,75,74,87,140,189,100,145,85,220
-1,51,89,111,64,235,159,183,73,109
-1,82,108,127,10,106,28,131,182,129
1,196,130,242,75,221,234,239,44,76
1,252,98,198,242,14,244,59,235,43
1,251,239,13,175,60,62,57,172,174
-1,194,20,152,103,86,138,204,150,44
1,92,143,126,6,149,200,25,51,227
1,116,43,187,120,79,37,134,78,52
1,48,209,119,229,247,211,129,154,83
1,222,231,194,30,222,200,196,212,76
1,232,151,207,203,230,7,103,218,241
1,118,87,83,163,141,110,9,40,91
-1,154,136,34,207,81,221,221,225,212
1,187,190,193,218,153,165,216,171,107
1,159,181,127,88,238,198,202,52,2
-1,36,125,32,163,24,67,233,242,51
-1,6,15,242,188,207,193,110,255,149
-1,68,55,247,81,241,52,177,227,34
1,160,69,87,194,217,67,241,12,33
1,91,244,68,221,45,32,24,78,96
-1,16,60,143,94,186,40,8,178,197
-1,129,64,237,112,247,36,46,251,211
1,147,11,113,180,188,221,10,97,21
1,248,239,154,187,70,79,76,210,143
1,196,206,44,229,135,33,137,216,14
1,142,31,121,171,177,100,100,13,27
-1,61,93,153,25,212,81,96,119,167
-1,235,24,9,160,119,178,24,123,229
-1,21,55,47,137,117,254,138,81,119
1,29,145,179,128,70,4,133,4,202
1,192,162,54,77,217,73,128,203,49
-1,12,106,77,89,161,63,191,222,163
1,22,156,158,240,180,146,31,15,221
1,95,206,251,102,61,30,64,180,142
-1,48,47,238,173,69,30,119,120,173
1,131,98,135,203,29,144,214,77,38
-1,156,146,101,249,21,128,216,189,185
-1,235,99,37,4,45,168,176,147,61
-1,114,45,158,3,112,53,88,248,28
-1,45,39,6,68,246,39,64,81,255
-1,4,99,25,66,204,78,146,75,234
1,195,182,143,119,247,193,24,170,249
-1,51,31,177,73,177,86,59,73,238
-1,170,40,144,121,111,210,231,194,50
-1,61,186,27,127,83,10,244,135,45
-1,190,202,131,214,216,247,174,179,196
-1,86,106,103,9,207,212,224,104,104
-1,17,238,122,124,46,112,208,215,150
-1,95,149,57,164,35,231,248,172,222
-1,11,32,202,173,237,99,180,178,77
-1,70,5,34,227,194,115,33,147,53
1,65,202,144,211,158,14,137,184,78
1,218,195,214,25,42,182,218,245,32
1,242,230,28,3,152,149,237,44,210
1,211,120,155,59,151,142,144,77,158
-1,130,122,12,127,48,0,181,181,149
-1,34,143,159,95,149,178,193,133,223
-1,23,144,80,54,188,105,187,20,212
-1,4,0,98,88,101,3,43,11,196
1,152,115,40,43,34,163,27,141,81
-1,54,87,51,125,151,141,201,210,195
-1,27,108,148,207,219,254,150,138,23
1,1,255,133,125,1,168,36,254,67
-1,46,136,54,86,250,194,78,17,149
1,151,228,1,154,178,194,177,5,22
-1,138,82,250,39,0,178,205,221,85
1,245,115,30,248,181,175,120,174,41
-1,22,169,72,5,160,57,229,142,83
-1,74,197,224,109,102,213,228,84,209
1,255,222,205,79,217,45,200,186,145
-1,68,177,119,167,189,141,132,156,135
-1,84,13,135,233,111,152,122,30,109
-1,199,118,127,236,24,183,185,113,149
-1,69,158,204,180,200,4,214,189,236
-1,3,177,74,140,199,40,213,246,54
-1,113,233,24,225,36,52,163,0,230
1,239,135,248,134,216,228,227,45,66
-1,93,100,108,56,79,83,82,179,237
-1,226,46,117,84,145,218,215,136,74
-1,55,212,250,176,182,151,254,207,252
1,84,189,117,149,77,54,73,169,52
-1,165,39,133,241,28,235,217,3,162
-1,124,160,31,179,110,195,209,197,178
-1,53,160,49,237,242,32,100,214,17
-1,251,204,37,43,72,140,174,253,139
-1,104,106,61,139,146,86,200,208,4
1,158,183,109,167,31,116,4,213,128
-1,31,4,111,191,101,169,19,64,195
-1,99,62,181,121,248,165,158,152,218
-1,25,19,181,235,33,74,249,126,122
-1,189,114,50,8,96,0,134,60,200
-1,165,2,57,160,172,82,215,193,49
1,199,78,134,231,82,45,157,84,12
1,167,147,246,15,97,94,79,113,195
1,93,193,123,0,15,238,30,27,243
1,217,91,120,162,254,231,106,209,58
-1,84,136,143,16,222,29,11,223,246
-1,31,118,4,79,202,44,178,99,52
-1,49,157,130,244,180,46,84,35,231
-1,0,229,77,154,38,119,148,153,96
1,182,35,243,140,237,103,8,198,152
-1,231,20,168,47,192,48,168,213,76
-1,231,39,60,182,122,167,157,160,20
-1,12,62,233,179,154,0,234,102,95
-1,99,14,154,155,189,152,42,92,246
-1,77,69,138,49,141,238,242,120,48
1,200,239,145,171,0,115,165,241,142
1,154,234,229,61,154,194,85,69,60
-1,81,73,53,90,173,143,247,96,25
-1,52,119,86,145,55,182,17,112,237
-1,112,127,67,244,96,207,13,188,186
1,51,226,92,12,186,115,60,113,114
-1,11,78,16,91,126,248,252,70,103
1,186,124,216,51,25,94,80,218,32
1,118,211,173,219,227,15,46,109,218
1,221,93,241,41,70,223,103,173,200
-1,193,146,41,65,154,233,214,155,233
-1,202,112,82,126,173,142,241,166,47
-1,208,70,49,94,107,85,144,211,78
-1,100,35,129,51,215,180,10,247,66
1,243,183,155,104,110,223,250,77,182
1,98,193,70,89,19,240,31,41,159
-1,2,140,93,108,74,200,205,129,174
-1,219,102,174,20,240,191,228,56,254
1,190,151,171,133,138,163,155,79,89
-1,12,235,239,219,160,151,195,169,154
-1,48,138,186,179,28,222,105,26,243
1,62,72,171,34,187,98,7,68,27
-1,214,214,64,207,176,115,144,172,225
1,227,176,103,79,175,165,8,138,41
-1,166,122,40,23,85,7,222,167,121
1,162,255,77,193,15,204,242,23,213
1,205,227,188,198,60,99,10,18,245
1,27,197,197,57,235,139,53,251,93
-1,213,129,58,161,224,162,253,66,217
-1,94,178,12,165,177,120,46,199,211
-1,178,83,114,32,42,250,214,225,245
-1,56,254,115,240,20,152,96,138,215
1,41,117,129,251,141,133,70,8,190
1,164,227,40,94,61,18,116,226,6
-1,159,106,86,252,57,132,231,191,47
1,253,187,125,162,136,94,38,208,85
1,245,10,255,125,144,193,158,196,153
-1,22,67,0,40,25,48,195,89,62
-1,26,4,7,253,218,175,72,182,230
1,86,147,24,205,201,241,80,7,27
1,38,5,238,13,89,202,87,128,36
1,203,18,243,36,141,149,232,74,11
1,42,201,75,122,142,25,75,170,36
1,47,195,52,158,227,189,23,56,81
1,180,156,243,111,77,24,104,148,170
1,210,201,222,216,47,98,194,149,166
-1,208,3,138,168,172,123,76,70,231
-1,133,247,93,191,136,117,85,233,232
-1,62,128,109,91,229,101,5,114,207
-1,17,45,245,142,55,242,150,103,196
-1,29,202,91,23,201,240,119,157,103
1,127,241,132,28,57,248,252,57,64
1,79,176,228,97,182,8,121,201,66
-1,71,152,48,8,171,126,113,197,97
1,221,221,21,120,125,249,150,35,0
-1,24,37,62,244,247,118,65,76,117
1,128,177,180,20,66,109,76,5,53
1,230,48,232,130,209,69,115,103,244
-1,63,127,28,160,77,24,134,243,133
1,202,222,232,222,236,36,25,105,31
-1,19,48,236,228,58,1,201,130,128
1,188,136,105,182,132,94,166,44,91
1,194,24,24,3,33,105,100,100,34
-1,109,31,143,184,164,45,166,159,187
-1,21,242,154,52,170,157,20,216,254
1,18,186,250,241,151,43,44,76,142
-1,21,208,114,185,95,93,76,198,218
1,240,120,56,239,75,78,14,151,146
-1,106,161,0,230,94,208,115,72,120
-1,195,67,10,254,166,241,168,113,21
-1,17,82,233,117,129,242,250,85,235
1,245,160,150,193,55,141,247,68,218
1,205,182,204,62,219,175,232,135,48
1,137,73,223,200,241,53,138,124,91
-1,133,107,14,131,124,131,80,88,138
1,43,165,61,191,159,200,99,7,161
1,149,196,134,98,37,226,198,59,96
-1,7,39,179,149,233,183,81,101,246
1,229,236,153,246,199,213,251,146,172
1,171,81,51,173,55,99,134,16,26
-1,157,187,4,169,142,155,252,209,109
1,164,217,170,49,228,112,152,151,172
-1,207,99,93,31,40,189,230,109,103
1,80,205,72,101,228,241,36,73,80
1,245,187,174,112,127,59,82,87,32
1,229,161,30,23,111,232,174,125,44
-1,148,70,255,194,123,170,206,197,206
1,227,18,88,153,129,99,54,152,57
-1,100,94,15,147,133,46,148,9,189
-1,157,249,99,149,224,42,246,228,100
-1,23,220,56,220,57,126,190,115,52
-1,64,241,148,168,157,177,163,189,105
1,206,192,171,6,233,250,195,255,60
1,253,219,210,38,249,90,105,94,123
-1,3,154,162,171,197,164,249,100,16
-1,89,222,16,62,5,38,187,135,254
-1,118,126,15,68,36,95,168,121,85
1,186,137,186,91,231,205,133,57,48
1,15,248,153,232,196,171,70,32,62
-1,9,96,3,151,252,162,206,141,172
-1,129,147,181,40,29,117,48,175,239
1,214,59,32,100,69,170,58,90,118
1,133,187,223,39,84,213,32,186,97
-1,83,104,198,86,194,1,177,44,185
1,116,241,184,126,170,79,219,180,126
-1,99,179,8,251,50,137,103,204,114
1,224,144,11,63,128,105,189,136,31
1,131,252,121,4,162,11,29,156,48
-1,36,73,160,187,190,183,91,48,163
1,35,197,53,153,43,26,31,12,235
1,26,101,249,89,8,102,134,157,73
-1,11,27,45,105,57,132,67,241,96
1,56,124,43,78,21,64,183,31,5
1,114,80,218,5,104,173,36,171,81
1,196,179,160,1,37,114,118,181,128
1,173,153,173,214,138,100,222,147,95
-1,235,40,167,86,183,166,214,24,220
